timestamp,time_since_start,player_type,attack_type,damage,is_counter_attack
2022-09-14 23:26:43.497102,3601,Main,Paper,1,False
2022-09-14 23:26:44.379765,4482,Enemy,Paper,1,False
2022-09-14 23:26:45.057001,5160,Main,Paper,1,False
2022-09-14 23:26:46.638571,6742,Main,Paper,1,False
2022-09-14 23:26:47.604161,7708,Enemy,Rock,10,False
2022-09-14 23:26:48.214027,8317,Main,Scissors,3,False
2022-09-14 23:26:49.791586,9895,Main,Scissors,3,False
2022-09-14 23:26:51.375050,11478,Enemy,Paper,20,True
2022-09-14 23:26:52.098217,12201,Enemy,Paper,1,False
2022-09-14 23:26:53.239435,13342,Main,Rock,10,False
2022-09-14 23:26:54.514512,14617,Main,Paper,1,False
2022-09-14 23:26:55.321236,15424,Enemy,Scissors,3,False
2022-09-14 23:26:56.091662,16194,Main,Paper,1,False
2022-09-14 23:26:57.695536,17799,Enemy,Paper,20,True
2022-09-14 23:26:58.417328,18521,Enemy,Paper,1,False
2022-09-14 23:26:59.547454,19651,Main,Rock,10,False
2022-09-14 23:27:00.818398,20922,Main,Scissors,3,False
2022-09-14 23:27:02.700127,22804,Main,Rock,10,False
2022-09-14 23:27:03.860158,23964,Enemy,Scissors,3,False
2022-09-14 23:27:03.974352,24077,Main,Scissors,3,False
2022-09-14 23:27:05.456435,25555,Enemy,Rock,10,False
2022-09-14 23:27:05.548634,25652,Main,Scissors,3,False
2022-09-14 23:27:06.515518,26619,Enemy,Paper,1,False
2022-09-14 23:27:07.431705,27536,Main,Rock,10,False
2022-09-14 23:27:08.670350,28774,Enemy,Scissors,20,True
2022-09-14 23:27:09.394560,29497,Enemy,Scissors,3,False
2022-09-14 23:27:10.263139,30366,Main,Paper,1,False
2022-09-14 23:27:11.779514,31883,Enemy,Scissors,20,True
2022-09-14 23:27:12.502550,32606,Enemy,Scissors,3,False
2022-09-14 23:27:13.713781,33818,Main,Rock,10,False
2022-09-14 23:27:14.141431,34239,Enemy,Scissors,3,False
2022-09-14 23:27:15.311427,35414,Main,Rock,10,False
2022-09-14 23:27:16.568059,36672,Main,Paper,1,False
2022-09-14 23:27:18.186678,38290,Enemy,Paper,20,True
2022-09-14 23:27:18.917827,39021,Enemy,Paper,1,False
2022-09-14 23:27:19.722554,39826,Main,Paper,1,False
2022-09-14 23:27:21.301611,41405,Main,Scissors,3,False
2022-09-14 23:27:21.928840,42032,Enemy,Paper,1,False
2022-09-14 23:27:23.183480,43287,Main,Rock,10,False
2022-09-14 23:27:23.794779,43899,Enemy,Rock,10,False
2022-09-14 23:27:24.750887,44850,Main,Rock,10,False
2022-09-14 23:27:26.114657,46218,Enemy,Paper,20,True
2022-09-14 23:27:26.842514,46947,Enemy,Paper,1,False
2022-09-14 23:27:27.903826,48007,Main,Rock,10,False
2022-09-14 23:27:39.230524,2559,Enemy,Scissors,3,False
2022-09-14 23:27:40.703557,4032,Main,Rock,10,False
2022-09-14 23:27:41.024764,4354,Enemy,Paper,1,False
2022-09-14 23:27:42.232002,5561,Main,Scissors,3,False
2022-09-16 16:36:21.687062,4421,Main,Paper,1,False
2022-09-16 16:36:24.164304,6899,Main,Paper,1,False
2022-09-16 16:36:26.927135,9661,Main,Rock,10,False
2022-09-16 16:36:29.106273,11841,Main,Paper,1,False
2022-09-16 16:36:31.570444,14304,Main,Scissors,3,False
2022-09-16 16:36:34.038225,16772,Main,Paper,1,False
2022-09-16 16:36:36.508550,19242,Main,Paper,1,False
2022-09-16 16:36:39.282839,22017,Main,Rock,10,False
2022-09-16 16:36:41.460763,24194,Main,Scissors,3,False
2022-09-16 16:36:44.229083,26964,Main,Rock,10,False
2022-09-16 16:36:46.382193,29112,Main,Scissors,3,False
2022-09-16 16:36:48.868490,31602,Main,Scissors,3,False
2022-09-16 16:36:50.453734,33188,Enemy,Rock,10,False
2022-09-16 16:36:51.332709,34067,Main,Scissors,3,False
2022-09-16 16:36:54.110831,36846,Main,Rock,10,False
2022-09-16 16:36:56.578951,39313,Main,Rock,10,False
2022-09-16 16:36:58.742860,41477,Main,Scissors,3,False
2022-09-16 16:36:59.568848,42303,Enemy,Paper,1,False
2022-09-16 16:37:01.212391,43947,Main,Scissors,3,False
2022-09-16 16:37:03.686678,46421,Main,Scissors,3,False
2022-09-16 16:37:04.729055,47463,Enemy,Rock,10,False
2022-09-16 16:37:06.153164,48888,Main,Paper,1,False
2022-09-16 16:37:08.548490,51283,Enemy,Rock,20,True
2022-09-16 16:37:09.566260,52300,Enemy,Rock,10,False
2022-09-16 16:37:11.090003,53825,Main,Paper,1,False
2022-09-16 16:37:13.558733,56293,Main,Scissors,3,False
2022-09-16 16:37:16.033910,58768,Main,Paper,1,False
2022-09-16 16:37:18.506956,61241,Main,Paper,1,False
2022-09-16 16:37:20.971332,63706,Main,Paper,1,False
2022-09-16 16:37:23.739907,66474,Main,Rock,10,False
2022-09-16 16:37:25.930971,68665,Main,Paper,1,False
2022-09-16 16:37:28.387106,71121,Main,Paper,1,False
2022-09-16 16:37:30.863552,73598,Main,Paper,1,False
2022-09-16 16:37:33.332589,76067,Main,Paper,1,False
2022-09-16 16:37:35.805714,78540,Main,Paper,1,False
2022-09-16 16:37:38.559874,81294,Main,Rock,10,False
2022-09-16 16:37:41.051349,83786,Main,Rock,10,False
2022-09-16 16:37:43.504564,86239,Main,Rock,10,False
2022-09-16 16:37:45.675597,88410,Main,Paper,1,False
2022-09-16 16:39:28.356259,4149,Main,Rock,10,False
2022-09-16 16:39:29.844586,5637,Main,Paper,1,False
2022-09-16 16:39:31.073728,6866,Enemy,Rock,10,False
2022-09-16 16:39:31.942734,7735,Main,Rock,10,False
2022-09-16 16:39:33.354954,9147,Enemy,Paper,1,False
2022-09-16 16:39:33.728228,9521,Main,Rock,10,False
2022-09-16 16:39:35.225438,11018,Main,Paper,1,False
2022-09-16 16:39:35.824443,11617,Enemy,Rock,10,False
2022-09-16 16:39:37.003940,12796,Main,Scissors,3,False
2022-09-16 16:39:37.921929,13714,Enemy,Scissors,3,False
2022-09-16 16:39:38.789459,14581,Main,Paper,1,False
2022-09-16 16:39:39.718474,15511,Enemy,Paper,1,False
2022-09-16 16:39:40.876221,16668,Main,Rock,10,False
2022-09-16 16:40:05.594067,4275,Main,Paper,1,False
2023-03-18 21:45:03.482916,2768,Main,Scissors,3,False
2023-03-18 21:45:03.692643,2977,Enemy,Paper,1,False
2023-03-18 21:45:04.789712,4074,Enemy,Scissors,3,False
2023-03-18 21:45:04.971395,4256,Enemy,Rock,20,True
2023-03-18 21:45:05.988135,5272,Enemy,Rock,10,False
2023-03-18 21:45:06.841702,6126,Main,Scissors,3,False
2023-03-18 21:53:37.206488,3810,Main,Scissors,3,False
2023-03-18 21:53:40.011241,6615,Main,Rock,10,False
2023-03-18 21:53:42.244573,8848,Main,Scissors,3,False
2023-03-18 21:53:44.760412,11364,Main,Scissors,3,False
2023-03-18 21:53:47.283489,13887,Main,Paper,1,False
2023-03-18 21:53:50.103765,16707,Main,Rock,10,False
2023-03-18 21:53:52.326435,18930,Main,Scissors,3,False
2023-03-18 21:53:54.846747,21450,Main,Scissors,3,False
2023-03-18 21:53:57.374003,23977,Main,Scissors,3,False
2023-03-18 21:53:59.880061,26483,Main,Scissors,3,False
2023-03-18 21:54:48.261133,3317,Main,Scissors,3,False
2023-03-18 21:54:50.981244,6037,Main,Rock,10,False
2023-03-18 21:54:53.400093,8456,Main,Rock,10,False
2023-03-18 21:54:55.523438,10579,Main,Paper,1,False
2023-03-18 21:54:58.252145,13308,Main,Rock,10,False
2023-03-18 21:55:00.357475,15413,Main,Scissors,3,False
2023-03-18 21:55:02.788145,17844,Main,Paper,1,False
2023-03-18 21:55:05.196948,20253,Main,Scissors,3,False
2023-03-18 21:55:07.628635,22684,Main,Paper,1,False
2023-03-18 21:55:10.043170,25099,Main,Paper,1,False
2023-03-18 21:55:12.477063,27528,Main,Scissors,3,False
2023-03-18 21:55:14.905572,29961,Main,Paper,1,False
2023-03-18 21:55:17.617176,32673,Main,Rock,10,False
2023-03-18 21:55:19.747327,34803,Main,Paper,1,False
2023-03-18 21:55:22.457972,37513,Main,Rock,10,False
2023-03-18 21:55:24.875728,39931,Main,Rock,10,False
2023-03-18 21:55:26.989095,42045,Main,Paper,1,False
2023-03-18 21:55:29.432264,44488,Main,Scissors,3,False
2023-03-18 21:55:32.153036,47209,Main,Rock,10,False
2023-03-18 21:55:34.268809,49324,Main,Paper,1,False
2023-03-18 21:55:36.993032,52048,Main,Rock,10,False
2023-03-18 21:55:39.414182,54470,Main,Rock,10,False
2023-03-18 21:55:41.532395,56588,Main,Scissors,3,False
2023-03-18 21:55:44.257492,59313,Main,Rock,10,False
2023-03-18 21:55:46.662069,61718,Main,Rock,10,False
2023-03-18 21:55:48.787767,63843,Main,Paper,1,False
2023-03-18 21:55:51.515906,66571,Main,Rock,10,False
2023-03-18 21:55:53.621681,68678,Main,Paper,1,False
2023-03-18 21:55:56.053968,71109,Main,Scissors,3,False
2023-03-18 21:55:58.771244,73827,Main,Rock,10,False
2023-03-18 21:56:01.200682,76255,Main,Rock,10,False
2023-03-18 21:56:03.629666,78685,Main,Rock,10,False
2023-03-18 21:56:06.048685,81104,Main,Rock,10,False
2023-03-18 21:56:08.463110,83519,Main,Rock,10,False
2023-03-18 21:56:10.581904,85637,Main,Scissors,3,False
2023-03-18 21:56:12.993211,88049,Main,Scissors,3,False
2023-03-18 21:56:15.420032,90475,Main,Scissors,3,False
2023-03-18 21:56:17.831803,92888,Main,Paper,1,False
2023-03-18 21:56:20.565545,95621,Main,Rock,10,False
2023-03-18 21:56:22.680388,97736,Main,Paper,1,False
2023-03-18 21:56:25.398256,100453,Main,Rock,10,False
2023-03-18 21:56:27.521446,102577,Main,Scissors,3,False
2023-03-18 21:56:29.961676,105018,Main,Scissors,3,False
2023-03-18 21:56:32.367218,107423,Main,Scissors,3,False
2023-03-18 21:56:34.807991,109864,Main,Scissors,3,False
2023-03-18 21:56:37.519636,112576,Main,Rock,10,False
2023-03-18 21:56:39.945854,115001,Main,Rock,10,False
2023-03-18 21:56:42.364668,117420,Main,Rock,10,False
2023-03-18 21:56:44.479817,119536,Main,Paper,1,False
2023-03-18 21:56:47.196725,122253,Main,Rock,10,False
2023-03-18 21:56:49.316361,124371,Main,Scissors,3,False
2023-03-18 21:56:52.046503,127102,Main,Rock,10,False
2023-03-18 21:56:54.155152,129211,Main,Paper,1,False
2023-03-18 21:56:56.583855,131639,Main,Scissors,3,False
2023-03-18 21:56:59.305177,134361,Main,Rock,10,False
2023-03-18 21:57:01.729061,136785,Main,Rock,10,False
2023-03-18 21:57:03.843544,138899,Main,Paper,1,False
2023-03-18 21:57:06.264972,141321,Main,Paper,1,False
2023-03-18 21:57:08.701984,143758,Main,Paper,1,False
2023-03-18 21:57:11.114611,146170,Main,Scissors,3,False
2023-03-18 21:57:13.540381,148596,Main,Scissors,3,False
2023-03-18 21:57:15.953858,151010,Main,Paper,1,False
2023-03-18 21:57:18.362596,153419,Main,Scissors,3,False
2023-03-18 21:57:21.110547,156166,Main,Rock,10,False
2023-03-18 21:57:23.211811,158267,Main,Scissors,3,False
2023-03-18 21:57:25.635400,160691,Main,Paper,1,False
2023-03-18 21:57:28.362859,163418,Main,Rock,10,False
2023-03-18 21:57:30.790062,165846,Main,Rock,10,False
2023-03-18 21:57:32.904259,167960,Main,Scissors,3,False
2023-03-18 21:57:35.316564,170372,Main,Paper,1,False
